X1 Y1 X2 Y2
0.0318328 0.830829 0.0357117 0.254282
0.0357117 0.254282 0.381558 0.0539501
0.381558 0.0539501 0.709365 0.0119021
0.709365 0.0119021 0.915736 0.138624
0.915736 0.138624 0.964889 0.223812
0.964889 0.223812 0.970593 0.255095
0.970593 0.255095 0.957507 0.585268
0.957507 0.585268 0.849129 0.814285
0.849129 0.814285 0.80028 0.890903
0.80028 0.890903 0.678735 0.929264
0.678735 0.929264 0.278498 0.959744
0.278498 0.959744 0.141886 0.959291
0.141886 0.959291 0.0971318 0.917194
0.0971318 0.917194 0.0318328 0.830829
0.957507 0.585268 0.905792 0.679703
0.849129 0.814285 0.905792 0.679703
0.0318328 0.830829 0.126987 0.655098
0.814724 0.276025 0.913376 0.162612
0.915736 0.138624 0.913376 0.162612
0.964889 0.223812 0.913376 0.162612
0.709365 0.0119021 0.632359 0.118998
0.126987 0.655098 0.0975404 0.498364
0.0357117 0.254282 0.0975404 0.498364
0.632359 0.118998 0.546882 0.340386
0.126987 0.655098 0.157613 0.751267
0.0971318 0.917194 0.157613 0.751267
0.157613 0.751267 0.0318328 0.830829
0.970593 0.255095 0.957167 0.505957
0.957507 0.585268 0.957167 0.505957
0.485376 0.699077 0.278498 0.959744
0.546882 0.340386 0.421761 0.547216
0.632359 0.118998 0.792207 0.149294
0.913376 0.162612 0.792207 0.149294
0.814724 0.276025 0.792207 0.149294
0.792207 0.149294 0.709365 0.0119021
0.792207 0.149294 0.915736 0.138624
0.970593 0.255095 0.959492 0.257508
0.959492 0.257508 0.964889 0.223812
0.485376 0.699077 0.655741 0.840717
0.678735 0.929264 0.655741 0.840717
0.655741 0.840717 0.80028 0.890903
0.655741 0.840717 0.278498 0.959744
0.959492 0.257508 0.933993 0.243525
0.814724 0.276025 0.933993 0.243525
0.913376 0.162612 0.933993 0.243525
0.933993 0.243525 0.964889 0.223812
0.814724 0.276025 0.743132 0.196595
0.632359 0.118998 0.743132 0.196595
0.792207 0.149294 0.743132 0.196595
0.743132 0.196595 0.546882 0.340386
0.546882 0.340386 0.392227 0.251084
0.0357117 0.254282 0.392227 0.251084
0.381558 0.0539501 0.392227 0.251084
0.392227 0.251084 0.421761 0.547216
0.485376 0.699077 0.655478 0.616045
0.392227 0.251084 0.171187 0.473289
0.421761 0.547216 0.171187 0.473289
0.0975404 0.498364 0.171187 0.473289
0.171187 0.473289 0.126987 0.655098
0.171187 0.473289 0.0357117 0.254282
0.546882 0.340386 0.706046 0.35166
0.75774 0.349984 0.706046 0.35166
0.706046 0.35166 0.743132 0.196595
0.171187 0.473289 0.276923 0.585264
0.421761 0.547216 0.276923 0.585264
0.126987 0.655098 0.276923 0.585264
0.276923 0.585264 0.157613 0.751267
0.0975404 0.498364 0.0461714 0.549724
0.0357117 0.254282 0.0461714 0.549724
0.0461714 0.549724 0.126987 0.655098
0.814724 0.276025 0.823458 0.285839
0.823458 0.285839 0.75774 0.349984
0.823458 0.285839 0.933993 0.243525
0.655478 0.616045 0.694829 0.7572
0.655741 0.840717 0.694829 0.7572
0.694829 0.7572 0.485376 0.699077
0.485376 0.699077 0.317099 0.753729
0.278498 0.959744 0.317099 0.753729
0.157613 0.751267 0.317099 0.753729
0.317099 0.753729 0.276923 0.585264
0.959492 0.257508 0.950222 0.380446
0.957167 0.505957 0.950222 0.380446
0.823458 0.285839 0.950222 0.380446
0.950222 0.380446 0.970593 0.255095
0.950222 0.380446 0.75774 0.349984
0.950222 0.380446 0.933993 0.243525
0.0318328 0.830829 0.0344461 0.567822
0.0357117 0.254282 0.0344461 0.567822
0.0461714 0.549724 0.0344461 0.567822
0.0344461 0.567822 0.126987 0.655098
0.392227 0.251084 0.438744 0.0758543
0.381558 0.0539501 0.438744 0.0758543
0.632359 0.118998 0.438744 0.0758543
0.438744 0.0758543 0.709365 0.0119021
0.655478 0.616045 0.765517 0.530798
0.75774 0.349984 0.765517 0.530798
0.957167 0.505957 0.765517 0.530798
0.765517 0.530798 0.950222 0.380446
0.765517 0.530798 0.957507 0.585268
0.765517 0.530798 0.905792 0.679703
0.694829 0.7572 0.7952 0.779167
0.905792 0.679703 0.7952 0.779167
0.849129 0.814285 0.7952 0.779167
0.7952 0.779167 0.765517 0.530798
0.7952 0.779167 0.655478 0.616045
0.7952 0.779167 0.80028 0.890903
0.7952 0.779167 0.655741 0.840717
0.157613 0.751267 0.186873 0.934011
0.278498 0.959744 0.186873 0.934011
0.141886 0.959291 0.186873 0.934011
0.186873 0.934011 0.317099 0.753729
0.186873 0.934011 0.0971318 0.917194
0.632359 0.118998 0.489764 0.129906
0.392227 0.251084 0.489764 0.129906
0.438744 0.0758543 0.489764 0.129906
0.489764 0.129906 0.546882 0.340386
0.655478 0.616045 0.445586 0.568824
0.485376 0.699077 0.445586 0.568824
0.421761 0.547216 0.445586 0.568824
0.445586 0.568824 0.317099 0.753729
0.445586 0.568824 0.276923 0.585264
0.445586 0.568824 0.546882 0.340386
0.655478 0.616045 0.646313 0.469391
0.546882 0.340386 0.646313 0.469391
0.706046 0.35166 0.646313 0.469391
0.646313 0.469391 0.445586 0.568824
0.646313 0.469391 0.765517 0.530798
0.646313 0.469391 0.75774 0.349984
0.706046 0.35166 0.754687 0.337123
0.743132 0.196595 0.754687 0.337123
0.75774 0.349984 0.754687 0.337123
0.754687 0.337123 0.814724 0.276025
0.754687 0.337123 0.823458 0.285839
