Id X Y
0 0.0000000000000000e+00 0.0000000000000000e+00
1 1.5000000000000000e+00 0.0000000000000000e+00
2 1.0000000000000000e+00 1.0000000000000000e+00
3 0.10000000000000000e+00 1.10000000000000000e+00
4 5.0000000000000000e-01 4.0000000000000000e-01
5 1.1000000000000000e+00 3.0000000000000000e-01
6 2.5000000000000000e-01 0.7000000000000000e+00
7 1.3000000000000000e-00 1.5000000000000000e+00
8 6.0000000000000000e-01 1.10000000000000000e+00
9 4.0000000000000000e-01 0.3000000000000000e+00
10 4.000000000000000e-01 1.3000000000000000e+00
11 4.0000000000000000e-01 1.4000000000000000e+00
